Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
556,-0.0872336,-1.08454,-0.384337
557,0.195614,-1.08346,0.274178
558,-0.412904,0.0187332,0.0449844
559,0.352016,0.0165787,0.287515
560,0.342731,-1.08266,0.0248903
561,-0.230632,0.0164948,-0.202364
562,-0.265694,-0.443363,0.316011
563,0.0736368,-1.08377,0.10772
564,0.0884376,-1.05357,-0.195647
565,-0.433162,0.0158166,0.073006
566,-0.056337,-1.08419,0.0403562
567,0.285065,0.01906,-0.0978789
568,-0.204863,-1.05812,0.209032
569,0.0475868,-1.05147,0.172843
570,-0.377805,0.0368815,0.204124
571,-0.303197,0.0434766,-0.132983
572,0.254879,0.017169,0.190192
573,-0.458642,-1.08229,-0.27903
574,-0.288289,-1.08491,-0.305288
575,-0.182807,-1.08348,0.157321
576,0.468335,-0.961122,-0.21663
577,-0.199262,-1.08402,0.296309
578,-0.456893,-0.997865,0.197675
579,0.0554697,-1.05134,-0.365133
580,0.0145874,-1.06932,-0.0843383
581,0.46277,-1.06764,0.306548
582,0.300776,0.0163015,0.0908849
583,-0.461857,-1.0834,0.172017
584,-0.452897,0.0396023,0.0674517
585,0.242761,-1.08477,-0.228872
586,0.210671,0.0155026,-0.0735895
587,0.0304149,-1.05748,-0.0318372
588,-0.324881,-1.05638,0.382985
589,0.268534,-1.08286,0.0310079
590,-0.27367,0.0375389,0.0209207
591,0.144186,-1.08093,-0.0620352
592,0.130238,-1.08406,0.173235
593,0.0197068,-1.05838,-0.354205
594,0.212153,-1.06398,-0.175891
595,-0.246757,0.0240491,0.132648
596,0.376748,-1.05809,0.135406
597,0.142097,-1.0802,-0.29932
598,0.0932673,-1.05122,0.222941
599,-0.140061,-1.06374,0.325272
600,0.361468,0.0176225,-0.0496611
601,0.0177002,-1.06093,0.0638667
602,0.200277,-1.08201,-0.118325
603,0.377914,0.0175339,0.0140512
604,0.234399,-0.411324,-0.310502
605,0.463457,-1.08079,0.184563
606,0.126625,-1.05231,0.0745423
607,0.126146,-1.08031,0.136134
608,0.331523,0.0159367,0.324712
609,-0.480186,-1.08023,-0.194813
610,-0.255343,-1.08221,-0.381669
611,-0.0111155,-1.0849,0.384766
612,-0.109871,-1.05254,0.313459
613,0.398345,0.015039,-0.235641
614,-0.112659,-1.05469,-0.0678605
615,0.368236,0.0194033,-0.209975
616,0.363662,0.0164131,-0.340887
617,-0.0657516,-1.08381,0.193629
618,0.337722,-1.08351,-0.199599
619,-0.217943,-1.08406,-0.0823731
620,-0.426639,0.019648,-0.196987
621,0.254967,0.0227548,0.380765
622,-0.328829,0.0150808,-0.0723277
623,-0.0627378,-1.05181,-0.260239
624,-0.394145,-1.08284,0.350631
625,-0.141886,-1.06025,0.124409
626,-0.0369694,-1.05751,0.0246042
627,-0.329217,-1.08397,0.27142
